Date,Station,Depth,COND,Temperature,Salinity,Density,PAR,Fluorescence,Turbidity,Beam,O2conc,O2Saturation
11/09/2012,1,1.372,,16.8829,31.5534,22.8979,1.33E+03,2.4506,1.1712,,136.54447,54.57237
11/09/2012,1,1.387,,16.8869,31.5875,22.9231,1.34E+03,2.5154,1.2963,,150.39741,60.12604
11/09/2012,1,1.382,,16.8834,31.5901,22.9259,1.63E+03,2.5208,1.3051,,185.4364,74.13011
11/09/2012,1,1.359,,16.8759,31.5902,22.9277,1.66E+03,2.5986,1.2952,,224.60555,89.77543
11/09/2012,1,1.353,,16.8756,31.5903,22.9279,1.62E+03,2.6177,1.2929,,254.57892,101.75529
11/09/2012,1,1.371,,16.8766,31.5915,22.9286,1.63E+03,2.8504,1.2807,,267.62947,106.97429
11/09/2012,1,1.384,,16.877,31.5901,22.9274,1.40E+03,2.9602,1.2746,,266.54215,106.53966
11/09/2012,1,1.378,,16.876,31.5912,22.9285,1.66E+03,2.7512,1.2421,,260.85062,104.26351
11/09/2012,1,1.366,,16.8684,31.5923,22.9311,1.64E+03,2.581,1.215,,255.33618,102.04484
11/09/2012,1,1.365,,16.8652,31.5932,22.9325,1.57E+03,2.607,1.2295,,251.22155,100.39465
11/09/2012,1,1.371,,16.8507,31.5965,22.9384,1.70E+03,2.6421,1.2498,,248.58196,99.31392
11/09/2012,1,1.374,,16.8561,31.5917,22.9334,1.48E+03,2.6711,1.2139,,246.87405,98.63913
11/09/2012,1,1.37,,16.8516,31.5947,22.9368,1.54E+03,2.7405,1.1281,,245.99704,98.28179
11/09/2012,1,1.37,,16.8422,31.5947,22.939,1.47E+03,2.7504,1.151,,245.19894,97.94506
11/09/2012,1,1.377,,16.8417,31.5935,22.9381,1.62E+03,2.8015,1.2685,,244.21037,97.54849
11/09/2012,1,1.377,,16.8353,31.5947,22.9406,1.58E+03,2.7962,1.2677,,243.5812,97.28578
11/09/2012,1,1.367,,16.8327,31.5937,22.9403,1.71E+03,2.6543,1.2376,,243.23099,97.14052
11/09/2012,1,1.363,,16.8378,31.5938,22.9393,1.45E+03,2.6551,1.2376,,243.09787,97.09707
11/09/2012,1,1.372,,16.8469,31.5924,22.9361,1.43E+03,2.9,1.5179,,243.10757,97.11726
11/09/2012,1,1.382,,16.8358,31.5989,22.9437,1.48E+03,2.9236,1.5454,,243.03159,97.0697
11/09/2012,1,1.382,,16.8165,31.5995,22.9485,1.56E+03,2.5887,1.2959,,243.0956,97.05923
11/09/2012,1,1.374,,16.822,31.5946,22.9435,1.81E+03,2.4964,1.2273,,243.1117,97.07315
11/09/2012,1,1.367,,16.8253,31.5941,22.9424,1.70E+03,2.7283,1.2459,,243.13583,97.08883
11/09/2012,1,1.375,,16.8371,31.5937,22.9394,1.70E+03,2.8504,1.2559,,243.09506,97.0945
11/09/2012,1,1.389,,16.8405,31.5947,22.9393,1.68E+03,2.9351,1.1983,,242.47346,96.85317
11/09/2012,1,1.39,,16.8501,31.5904,22.9339,1.54E+03,3.0098,1.1464,,242.21841,96.76683
11/09/2012,1,1.379,,16.8538,31.5969,22.938,1.62E+03,2.9267,1.183,,242.31441,96.81603
11/09/2012,1,1.374,,16.8344,31.5949,22.9409,1.73E+03,2.8023,1.2376,,242.64951,96.91213
11/09/2012,1,1.382,,16.84,31.5955,22.94,1.64E+03,2.8023,1.2395,,242.34707,96.80225
11/09/2012,1,1.386,,16.8489,31.5916,22.935,1.42E+03,2.8023,1.2437,,241.72244,96.56713
11/09/2012,1,1.378,,16.8606,31.5925,22.933,1.37E+03,2.7466,1.2517,,241.53185,96.51341
11/09/2012,1,1.381,,16.8563,31.5935,22.9348,1.43E+03,2.4262,1.2993,,242.0929,96.73006
11/09/2012,1,1.388,,16.8615,31.5902,22.931,1.55E+03,2.4361,1.2974,,243.01829,97.10772
11/09/2012,1,1.388,,16.8636,31.5937,22.9332,2.04E+03,2.9618,1.2086,,243.58236,97.33911
11/09/2012,1,1.377,,16.858,31.5932,22.9341,1.67E+03,2.961,1.2086,,243.99767,97.49429
11/09/2012,1,1.372,,16.861,31.5924,22.9328,1.71E+03,2.7535,1.3657,,243.96746,97.48746
11/09/2012,1,1.38,,16.8559,31.5939,22.9352,1.68E+03,2.7291,1.3852,,243.78618,97.40629
11/09/2012,1,1.393,,16.8536,31.5925,22.9346,1.68E+03,2.8221,1.2551,,243.71969,97.37439
11/09/2012,1,1.393,,16.8618,31.5916,22.9321,1.68E+03,2.8511,1.2147,,243.43635,97.27623
11/09/2012,1,1.376,,16.8557,31.5931,22.9346,1.84E+03,2.6871,1.2265,,243.23484,97.185
11/09/2012,1,1.366,,16.851,31.5925,22.9352,1.65E+03,2.594,1.2334,,243.23293,97.175
11/09/2012,1,1.379,,16.853,31.5907,22.9334,1.52E+03,2.8122,1.2204,,243.52847,97.29599
11/09/2012,1,1.397,,16.8604,31.5938,22.934,1.48E+03,3.022,1.2086,,243.62706,97.35109
11/09/2012,1,1.397,,16.8604,31.5913,22.9321,1.54E+03,3.0083,1.1895,,243.6799,97.37077
11/09/2012,1,1.38,,16.8687,31.5928,22.9314,1.80E+03,2.9854,1.159,,243.74235,97.41222
11/09/2012,1,1.373,,16.8845,31.5887,22.9246,1.53E+03,2.9106,1.1899,,243.29557,97.26115
11/09/2012,1,1.383,,16.8886,31.5925,22.9265,1.65E+03,2.6917,1.2807,,243.16637,97.21942
11/09/2012,1,1.398,,16.8737,31.5881,22.9266,1.49E+03,2.6917,1.2814,,243.46535,97.30827
11/09/2012,1,1.394,,16.8812,31.5917,22.9276,1.60E+03,2.6917,1.2868,,243.24582,97.2368
11/09/2012,1,1.383,,16.8903,31.5908,22.9249,1.65E+03,2.6917,1.2879,,243.14596,97.2135
11/09/2012,1,1.381,,16.8923,31.5912,22.9247,1.89E+03,2.8382,1.5385,,243.10013,97.19915
11/09/2012,1,1.389,,16.8866,31.5934,22.9277,1.52E+03,2.8382,1.5393,,243.12052,97.19782
11/09/2012,1,1.39,,16.8838,31.5922,22.9274,1.38E+03,2.6879,1.3348,,243.71769,97.43063
11/09/2012,1,1.391,,16.8822,31.5936,22.9289,1.50E+03,2.6673,1.3055,,244.27087,97.64951
11/09/2012,1,1.393,,16.8752,31.5935,22.9304,1.86E+03,2.7863,1.402,,244.28514,97.64191
11/09/2012,1,1.388,,16.8735,31.5932,22.9306,1.77E+03,2.826,1.4344,,244.0209,97.533
11/09/2012,1,1.391,,16.8707,31.5909,22.9295,1.58E+03,2.9709,1.2593,,243.99964,97.51769
11/09/2012,1,1.388,,16.8696,31.5937,22.9318,1.44E+03,3.0587,1.1529,,244.24885,97.61694
11/09/2012,1,1.388,,16.8642,31.5938,22.9332,1.65E+03,3.077,1.3016,,244.89151,97.86364
11/09/2012,1,1.393,,16.8565,31.595,22.9359,1.55E+03,3.096,1.4531,,244.93852,97.86844
11/09/2012,1,1.4,,16.849,31.5946,22.9373,1.76E+03,2.8107,1.3444,,244.55312,97.69999
11/09/2012,1,1.391,,16.845,31.5945,22.9381,1.65E+03,2.3277,1.159,,244.41382,97.63675
11/09/2012,1,1.382,,16.8443,31.5943,22.9382,1.90E+03,2.282,1.2097,,244.55829,97.69298
11/09/2012,1,1.391,,16.8375,31.5974,22.9421,1.74E+03,2.1423,1.3665,,244.8995,97.81813
11/09/2012,1,1.402,,16.8618,31.5893,22.9303,1.51E+03,2.2377,1.3585,,244.93724,97.87467
11/09/2012,1,1.399,,16.8585,31.594,22.9346,1.67E+03,2.9618,1.2932,,245.15505,97.95813
11/09/2012,1,1.386,,16.8502,31.5941,22.9367,1.53E+03,2.9602,1.2932,,245.13314,97.93365
11/09/2012,1,1.383,,16.8435,31.5938,22.938,1.61E+03,3.2524,1.2162,,245.02944,97.87941
11/09/2012,1,1.395,,16.8518,31.5896,22.9328,1.55E+03,3.2547,1.2154,,244.6295,97.73288
11/09/2012,1,1.402,,16.8726,31.5937,22.9312,1.58E+03,3.0319,1.2204,,244.26487,97.62912
11/09/2012,1,1.393,,16.8693,31.5916,22.9303,1.63E+03,2.9976,1.2211,,244.11203,97.56044
11/09/2012,1,1.386,,16.8716,31.592,22.9301,1.64E+03,3.0884,1.2257,,244.0169,97.52706
11/09/2012,1,1.391,,16.8643,31.5957,22.9346,1.68E+03,3.1205,1.2273,,243.66858,97.37621
11/09/2012,1,1.392,,16.856,31.5945,22.9356,1.74E+03,2.977,1.434,,243.44056,97.26875
11/09/2012,1,1.391,,16.8417,31.5969,22.9408,1.59E+03,2.8878,1.5637,,243.65324,97.32801
11/09/2012,1,1.394,,16.8308,31.5966,22.943,1.66E+03,2.9831,1.468,,243.96514,97.43176
11/09/2012,1,1.392,,16.8257,31.597,22.9445,1.61E+03,3.0831,1.3673,,244.40005,97.59607
11/09/2012,1,1.392,,16.821,31.597,22.9456,1.52E+03,3.0876,1.3535,,244.87182,97.77542
11/09/2012,1,1.392,,16.824,31.594,22.9426,1.59E+03,3.0953,1.3302,,245.06826,97.85784
11/09/2012,1,1.389,,16.826,31.5925,22.941,1.64E+03,3.0144,1.4359,,245.00526,97.83572
11/09/2012,1,1.391,,16.8485,31.5885,22.9328,1.75E+03,2.7535,1.7777,,244.5685,97.70156
11/09/2012,1,1.399,,16.8568,31.5947,22.9356,1.41E+03,2.7558,1.7365,,244.28045,97.60581
11/09/2012,1,1.399,,16.8729,31.5909,22.929,1.70E+03,2.7771,1.3909,,244.35569,97.66418
11/09/2012,1,1.391,,16.8672,31.5926,22.9316,1.54E+03,2.7771,1.3913,,244.69862,97.79147
11/09/2012,1,1.387,,16.8611,31.5941,22.9341,1.54E+03,2.9824,1.3428,,244.87936,97.85299
11/09/2012,1,1.392,,16.8581,31.5934,22.9343,1.46E+03,2.9854,1.3425,,244.6284,97.74652
11/09/2012,1,1.397,,16.8534,31.5933,22.9353,1.41E+03,2.9747,1.2528,,244.14114,97.54295
11/09/2012,1,1.399,,16.8494,31.5932,22.9362,1.54E+03,2.9724,1.2379,,243.53873,97.29463
11/09/2012,1,1.397,,16.8449,31.5941,22.9378,1.64E+03,2.581,1.1849,,243.58389,97.30471
11/09/2012,1,1.394,,16.8451,31.5932,22.9371,1.65E+03,2.4391,1.1655,,243.82413,97.40058
11/09/2012,1,1.391,,16.8369,31.5948,22.9402,1.81E+03,2.6589,1.2578,,244.22759,97.54704
11/09/2012,1,1.394,,16.8529,31.5919,22.9343,1.72E+03,2.8015,1.3177,,244.5852,97.71851
11/09/2012,1,1.399,,16.8583,31.5927,22.9337,1.83E+03,2.89,1.2685,,244.60007,97.73527
11/09/2012,1,1.404,,16.8702,31.591,22.9297,1.43E+03,2.9854,1.215,,244.65968,97.78076
11/09/2012,1,1.398,,16.8711,31.5936,22.9315,1.67E+03,2.9244,1.2105,,245.03428,97.9336
11/09/2012,1,1.389,,16.8633,31.5899,22.9304,1.76E+03,2.8137,1.2028,,245.11751,97.94979
11/09/2012,1,1.332,,16.8705,31.5992,22.9359,1.63E+03,2.7832,1.2215,,245.13624,97.97662
11/09/2012,1,1.168,,16.8476,31.5946,22.9376,1.88E+03,2.6795,1.2868,,245.17262,97.94489
11/09/2012,1,0.963,,16.8497,31.593,22.9359,1.76E+03,2.7069,1.2997,,244.69074,97.7554
11/09/2012,1,0.769,,16.8432,31.5946,22.9386,2.63E+03,2.961,1.4226,,243.88677,97.42278
11/09/2012,1,0.73,,16.8438,31.5938,22.9379,4.48E+03,2.9602,1.4222,,243.53031,97.28105
11/09/2012,1,0.727,,16.8282,31.5953,22.9427,4.49E+03,2.9007,1.2726,,244.11169,97.48457
11/09/2012,1,0.724,,16.836,31.5926,22.9388,4.49E+03,2.9,1.2688,,244.71175,97.73755
11/09/2012,1,0.734,,16.8295,31.5951,22.9422,4.49E+03,2.9831,1.3623,,245.1512,97.90208
11/09/2012,1,0.74,,16.8128,31.596,22.9467,4.48E+03,2.9969,1.3791,,245.40142,97.97085
11/09/2012,1,0.738,,16.8067,31.595,22.9473,4.48E+03,3.1029,1.3436,,245.10002,97.83827
11/09/2012,1,0.725,,16.8068,31.5937,22.9464,4.48E+03,3.1441,1.3302,,245.00025,97.79793
11/09/2012,1,0.723,,16.8298,31.5887,22.9372,4.48E+03,3.0129,1.3554,,244.80998,97.76256
11/09/2012,1,0.737,,16.8509,31.5887,22.9323,4.48E+03,2.9244,1.373,,244.69907,97.75833
11/09/2012,1,0.744,,16.8907,31.5913,22.9251,4.50E+03,2.9579,1.2761,,244.49949,97.75561
11/09/2012,1,0.737,,16.9004,31.5921,22.9235,4.48E+03,2.9976,1.1655,,244.0627,97.59994
11/09/2012,1,0.772,,16.9001,31.5924,22.9238,4.05E+03,2.8641,1.1716,,243.68019,97.44662
11/09/2012,1,0.874,,16.8908,31.5978,22.9301,2.06E+03,2.6062,1.1838,,243.47592,97.35041
11/09/2012,1,1.002,,16.8241,31.5938,22.9424,2.03E+03,2.7298,1.1944,,243.56016,97.25565
11/09/2012,1,1.134,,16.8433,31.5924,22.9369,1.77E+03,3.1815,1.2337,,243.23771,97.16241
11/09/2012,1,1.261,,16.8685,31.59,22.9292,1.78E+03,3.1731,1.2578,,243.06218,97.13833
11/09/2012,1,1.386,,16.8549,31.5956,22.9367,1.49E+03,3.0831,1.5275,,243.45968,97.27479
11/09/2012,1,1.518,,16.7716,31.6092,22.9663,1.48E+03,3.0831,1.5267,,244.56437,97.56616
11/09/2012,1,1.656,,16.7029,31.6113,22.9837,1.51E+03,2.8839,1.2559,,245.24009,97.70634
11/09/2012,1,1.79,,16.6316,31.6177,23.005,1.59E+03,2.8748,1.244,,245.57984,97.70966
11/09/2012,1,1.919,,16.5741,31.6246,23.0233,1.31E+03,2.491,1.4279,,245.95404,97.75291
11/09/2012,1,2.049,,16.539,31.6251,23.0318,1.27E+03,2.4147,1.4653,,246.50584,97.90563
11/09/2012,1,2.185,,16.5391,31.6245,23.0312,1.01E+03,3.0739,1.3833,,246.92784,98.07302
11/09/2012,1,2.318,,16.5024,31.6364,23.0488,1.03E+03,3.3493,1.3486,,247.16729,98.10496
11/09/2012,1,2.453,,16.4441,31.6386,23.0637,9.62E+02,3.4851,1.3058,,246.73514,97.82309
11/09/2012,1,2.595,,16.4237,31.6383,23.0681,9.45E+02,3.5836,1.2746,,245.87159,97.44168
11/09/2012,1,2.741,,16.4281,31.6359,23.0653,8.08E+02,3.9139,1.2692,,244.6544,96.96621
11/09/2012,1,2.887,,16.4065,31.6475,23.0791,7.89E+02,4.316,1.2627,,243.84403,96.611
11/09/2012,1,3.039,,16.3309,31.6566,23.1031,7.05E+02,4.4381,1.3261,,243.53707,96.35199
11/09/2012,1,3.202,,16.2647,31.6652,23.1247,6.68E+02,4.6952,1.4592,,242.90174,95.98114
11/09/2012,1,3.368,,16.2256,31.669,23.1364,6.12E+02,4.7219,1.3962,,242.24518,95.65056
11/09/2012,1,3.521,,16.2018,31.671,23.1433,6.01E+02,4.8302,1.1346,,241.36795,95.26078
11/09/2012,1,3.679,,16.1916,31.6716,23.1461,5.40E+02,4.8241,1.133,,241.09044,95.13254
11/09/2012,1,3.881,,16.1792,31.675,23.1515,5.12E+02,4.7562,1.1098,,241.15953,95.13866
11/09/2012,1,4.146,,16.1632,31.6804,23.1592,4.38E+02,4.7562,1.1098,,241.46039,95.23047
11/09/2012,1,4.399,,16.1511,31.6867,23.1667,3.89E+02,5.0309,1.1391,,241.67854,95.29769
11/09/2012,1,4.573,,16.1475,31.6876,23.1683,3.55E+02,5.0492,1.1407,,241.22046,95.11082
11/09/2012,1,4.732,,16.1456,31.6887,23.1695,3.33E+02,4.7013,1.1555,,240.45424,94.80573
11/09/2012,1,4.911,,16.1401,31.691,23.1725,3.17E+02,4.6219,1.1593,,239.28425,94.33558
11/09/2012,1,5.103,,16.1156,31.6985,23.1838,2.88E+02,4.6303,1.1937,,238.31514,93.91256
11/09/2012,1,5.286,,16.0747,31.7054,23.1982,2.69E+02,4.6341,1.2089,,237.43186,93.49323
11/09/2012,1,5.465,,16.0492,31.7077,23.2057,2.47E+02,4.5517,1.27,,236.36156,93.0264
11/09/2012,1,5.646,,16.0444,31.7079,23.2069,2.28E+02,4.4869,1.318,,235.57772,92.7093
11/09/2012,1,5.828,,16.0419,31.7071,23.2069,2.11E+02,4.4297,1.4294,,234.69737,92.35787
11/09/2012,1,6.017,,16.0407,31.7076,23.2075,1.96E+02,4.3534,1.5763,,233.8152,92.00873
11/09/2012,1,6.204,,16.0093,31.7138,23.2193,1.78E+02,4.2756,1.4573,,233.50188,91.83225
11/09/2012,1,6.385,,15.9977,31.7102,23.2191,1.65E+02,4.097,1.1845,,233.30981,91.73367
11/09/2012,1,6.559,,15.9949,31.7105,23.22,1.53E+02,4.0902,1.2356,,232.42295,91.38016
11/09/2012,1,6.744,,15.9912,31.7093,23.2199,1.41E+02,4.0596,1.4775,,231.00495,90.81537
11/09/2012,1,6.927,,15.9875,31.7097,23.221,1.30E+02,4.0772,1.4657,,229.86274,90.35993
11/09/2012,1,7.112,,15.9885,31.708,23.2195,1.21E+02,4.4274,1.2143,,229.1194,90.06855
11/09/2012,1,7.295,,15.9909,31.708,23.2189,1.12E+02,4.4251,1.215,,229.00732,90.02873
11/09/2012,1,7.482,,15.9933,31.7075,23.218,1.03E+02,4.1443,1.236,,229.50724,90.22918
11/09/2012,1,7.663,,15.9938,31.7072,23.2177,9.59E+01,4.1207,1.2379,,230.11312,90.46809
11/09/2012,1,7.84,,15.9894,31.7083,23.2195,8.93E+01,4.1306,1.1704,,230.62666,90.66278
11/09/2012,1,8.02,,15.9865,31.708,23.2199,8.33E+01,4.1321,1.1525,,230.83621,90.73983
11/09/2012,1,8.208,,15.9863,31.7077,23.2197,7.71E+01,4.361,1.1696,,230.15286,90.47068
11/09/2012,1,8.396,,15.9886,31.7072,23.2188,7.18E+01,4.4747,1.178,,228.9256,89.99214
11/09/2012,1,8.579,,15.9864,31.7076,23.2197,6.63E+01,4.4617,1.1044,,227.60242,89.46825
11/09/2012,1,8.757,,15.9869,31.7076,23.2195,6.21E+01,4.4503,1.0419,,226.96956,89.22027
11/09/2012,1,8.935,,15.9865,31.7069,23.2191,5.82E+01,4.4503,1.0159,,227.34357,89.36621
11/09/2012,1,9.125,,15.9877,31.7075,23.2193,5.37E+01,4.451,0.9793,,227.69623,89.50732
11/09/2012,1,9.312,,15.9848,31.7064,23.2191,5.00E+01,4.4861,1.0182,,227.90757,89.58468
11/09/2012,1,9.495,,15.9832,31.7069,23.2198,4.69E+01,4.5731,1.1155,,227.73335,89.51381
11/09/2012,1,9.673,,15.982,31.707,23.2202,4.37E+01,4.4457,1.114,,227.60398,89.46088
11/09/2012,1,9.854,,15.9838,31.7071,23.2198,4.07E+01,3.7682,1.1033,,227.93911,89.59572
11/09/2012,1,10.04,,15.9845,31.7069,23.2195,3.80E+01,3.7873,1.1086,,228.05785,89.64348
11/09/2012,1,10.228,,15.9828,31.7077,23.2206,3.55E+01,4.4152,1.2875,,228.08927,89.65344
11/09/2012,1,10.414,,15.9806,31.7087,23.2218,3.31E+01,4.4144,1.2875,,227.85667,89.55859
11/09/2012,1,10.595,,15.9734,31.7105,23.2248,3.10E+01,4.3595,1.1326,,227.28279,89.32132
11/09/2012,1,10.772,,15.9643,31.7132,23.2289,2.90E+01,4.3541,1.1159,,227.1659,89.26091
11/09/2012,1,10.961,,15.9492,31.7132,23.2323,2.71E+01,3.891,1.2387,,227.60537,89.40694
11/09/2012,1,11.151,,15.9415,31.715,23.2353,2.53E+01,3.7568,1.2746,,227.74078,89.44759
11/09/2012,1,11.335,,15.9381,31.7143,23.2356,2.35E+01,3.9322,1.1998,,227.80204,89.4653
11/09/2012,1,11.517,,15.9365,31.7138,23.2355,2.19E+01,4.0284,1.1593,,227.76608,89.4479
11/09/2012,1,11.699,,15.9323,31.7144,23.2369,2.04E+01,3.8475,1.1719,,227.7038,89.4164
11/09/2012,1,11.881,,15.9347,31.7139,23.236,1.90E+01,3.6827,1.1841,,227.96317,89.52222
11/09/2012,1,12.06,,15.9361,31.7136,23.2355,1.77E+01,3.8285,1.0991,,228.00958,89.54276
11/09/2012,1,12.235,,15.9308,31.7142,23.2371,1.66E+01,4.0528,0.9671,,227.56492,89.35924
11/09/2012,1,12.424,,15.9295,31.7139,23.2372,1.55E+01,3.9902,1.0014,,227.22969,89.22509
11/09/2012,1,12.608,,15.929,31.7141,23.2374,1.45E+01,3.8178,1.0968,,227.28882,89.24744
11/09/2012,1,12.786,,15.9289,31.7139,23.2373,1.35E+01,3.8536,1.0911,,227.27587,89.24223
11/09/2012,1,12.954,,15.929,31.7138,23.2372,1.28E+01,4.0719,1.0537,,227.10847,89.17657
11/09/2012,1,13.13,,15.9283,31.7138,23.2373,1.20E+01,4.0726,1.0552,,226.6602,88.99931
11/09/2012,1,13.315,,15.9286,31.7136,23.2372,1.13E+01,4.0841,1.1529,,226.46572,88.92335
11/09/2012,1,13.506,,15.9278,31.7139,23.2375,1.06E+01,4.0848,1.1529,,226.02122,88.74764
11/09/2012,1,13.687,,15.9264,31.7141,23.238,9.91E+00,3.8376,0.9442,,225.7829,88.65171
11/09/2012,1,13.853,,15.9232,31.7159,23.2401,9.36E+00,3.8048,0.9171,,225.65743,88.59776
11/09/2012,1,14.026,,15.9173,31.7165,23.2419,8.80E+00,3.8056,0.9877,,225.90879,88.68643
11/09/2012,1,14.207,,15.9152,31.7166,23.2424,8.26E+00,3.8056,1.0106,,226.31048,88.84055
11/09/2012,1,14.395,,15.913,31.7166,23.2429,7.75E+00,3.9452,1.1002,,226.60779,88.95345
11/09/2012,1,14.575,,15.9121,31.7166,23.2432,7.28E+00,4.0276,1.1532,,227.00041,89.10591
11/09/2012,1,14.749,,15.9111,31.7162,23.243,6.84E+00,3.8781,1.2116,,227.02125,89.1122
11/09/2012,1,14.924,,15.909,31.717,23.2441,6.46E+00,3.7316,1.2688,,227.22195,89.18762
11/09/2012,1,15.109,,15.9081,31.7171,23.2443,6.06E+00,3.7545,1.1948,,227.72638,89.3841
11/09/2012,1,15.298,,15.906,31.7171,23.2448,5.67E+00,3.7926,1.0724,,227.99194,89.48462
11/09/2012,1,15.485,,15.902,31.7181,23.2465,5.33E+00,3.7896,1.0583,,227.75524,89.38531
11/09/2012,1,15.661,,15.8984,31.718,23.2473,5.01E+00,3.7812,1.0163,,227.33476,89.2138
11/09/2012,1,15.836,,15.8981,31.718,23.2473,4.71E+00,3.8018,1.056,,227.08802,89.11654
11/09/2012,1,16.015,,15.897,31.7182,23.2477,4.43E+00,3.9536,1.3371,,227.01517,89.08603
11/09/2012,1,16.204,,15.8965,31.7179,23.2476,4.15E+00,3.9528,1.336,,227.10389,89.11989
11/09/2012,1,16.392,,15.8965,31.718,23.2476,3.88E+00,3.6103,0.956,,227.33019,89.20864
11/09/2012,1,16.57,,15.896,31.7178,23.2476,3.65E+00,3.6087,0.9549,,227.71513,89.35882
11/09/2012,1,16.754,,15.8924,31.7188,23.2492,3.43E+00,3.8338,0.895,,227.75294,89.36779
11/09/2012,1,16.943,,15.887,31.7189,23.2505,3.21E+00,3.8674,0.8862,,227.49349,89.25649
11/09/2012,1,17.134,,15.8822,31.7195,23.252,3.01E+00,3.7018,0.9972,,227.0388,89.07003
11/09/2012,1,17.329,,15.88,31.7196,23.2525,2.82E+00,3.6454,1.0354,,226.79929,88.97219
11/09/2012,1,17.528,,15.8773,31.7205,23.2538,2.62E+00,3.6988,1.0739,,226.86024,88.992
11/09/2012,1,17.717,,15.8743,31.7202,23.2543,2.46E+00,3.7316,1.0972,,226.96946,89.02931
11/09/2012,1,17.901,,15.8724,31.7209,23.2552,2.31E+00,3.7194,1.0148,,227.11274,89.08264
11/09/2012,1,18.089,,15.868,31.7217,23.2568,2.17E+00,3.7064,0.9301,,227.04917,89.05037
11/09/2012,1,18.293,,15.866,31.7218,23.2573,2.03E+00,3.5401,0.964,,227.29871,89.14469
11/09/2012,1,18.494,,15.8644,31.7222,23.258,1.89E+00,3.2555,1.0228,,227.6732,89.28899
11/09/2012,1,18.69,,15.8581,31.7239,23.2607,1.77E+00,3.3913,1.0136,,227.76928,89.31657
11/09/2012,1,18.877,,15.8523,31.7243,23.2623,1.65E+00,3.8178,0.9862,,227.7042,89.28099
11/09/2012,1,19.074,,15.8483,31.7253,23.264,1.55E+00,3.7941,1.0014,,227.49882,89.19396
11/09/2012,1,19.271,,15.8439,31.7254,23.265,1.44E+00,3.6202,1.1223,,227.10901,89.03344
11/09/2012,1,19.467,,15.8391,31.727,23.2673,1.36E+00,3.6202,1.1223,,226.97647,88.97393
11/09/2012,1,19.661,,15.8358,31.7272,23.2682,1.26E+00,3.4615,1.1464,,227.10486,89.0185
11/09/2012,1,19.86,,15.835,31.7271,23.2683,1.18E+00,3.46,1.1471,,227.21195,89.05901
