 ID,Station,Depth,SiO4,NO3+2,PO4,NH4,Bacteria Conc (cell/ml),Viral Conc (cell/ml),Chl Total,CHL <20um,CHL<3um,Flowcam Biomass
3,3,10,1.40,1.43,0.47,0.93,2.10E+06,1.82E+07,2.8983,,,
3,3,40,4.24,3.88,0.69,2.37,1.99E+06,1.96E+07,2.8622,,,
3,4,2,NA,NA,NA,NA,1.69E+06,1.30E+07,2.4830,1.18121031,0.268161394,1.53E+05
3,4,10,2.48,4.13,0.63,3.02,1.64E+06,1.50E+07,2.7448,,,
3,4,40,0.92,4.37,0.55,5.24,1.52E+06,1.53E+07,1.8239,,,
4,1,2,4.72,6.59,0.78,5.75,1.83E+06,1.30E+07,1.0606,1.006963358,3.236449152,1.23E+04
4,1,10,3.42,2.57,0.64,1.89,1.72E+06,1.33E+07,1.3551,,,
4,1,35,4.77,7.31,0.87,6.61,1.49E+06,1.13E+07,1.3490,,,
4,2,2,4.43,3.28,0.84,2.19,1.79E+06,1.22E+07,1.3551,0.918901924,0.231693463,1.74E+04
4,2,10,3.07,2.35,0.63,1.79,1.66E+06,1.10E+07,1.4156,,,
4,2,20,4.41,3.59,0.82,2.31,NA,NA,1.3127,,,
4,3,2,1.99,2.13,0.61,0.51,1.49E+06,1.00E+07,1.1524,3.272745778,0.712148991,2.89E+04
4,3,10,1.97,2.33,0.53,0.94,2.16E+06,1.22E+07,3.5450,,,
4,3,40,5.28,5.38,0.76,0.91,2.24E+06,1.24E+07,4.6328,,,
4,4,2,1.15,1.69,0.49,0.70,1.86E+06,9.50E+06,0.7658,3.042867146,0.951446367,5.47E+04
4,4,10,0.90,1.62,0.40,1.01,2.75E+06,1.15E+07,3.5018,,,
4,4,40,1.48,3.21,0.47,1.61,2.25E+06,1.07E+07,4.1733,,,
5,1,2,7.40,6.44,0.87,1.91,NA,NA,1.2280,0.83084049,0.270409864,1.19E+04
5,1,10,6.90,6.53,0.85,2.24,NA,NA,1.3067,,,
5,1,35,6.66,5.81,0.80,1.55,NA,NA,1.3006,,,
5,2,2,7.90,7.90,0.94,1.44,1.69E+06,9.19E+06,1.1131,0.930388198,0.278879076,1.12E+04
5,2,10,7.97,7.97,0.99,3.26,1.84E+06,1.07E+07,1.2280,,,
5,2,20,7.84,7.84,0.95,2.06,1.74E+06,1.02E+07,1.3127,,,
5,3,2,4.25,5.99,0.73,0.76,1.60E+06,8.56E+06,1.1946,1.180214659,0.350262441,2.60E+04
5,3,10,4.79,7.79,0.80,1.94,1.42E+06,7.98E+06,1.5184,,,
5,3,40,6.52,7.89,0.85,1.49,1.59E+06,9.09E+06,1.5366,,,
5,4,2,4.42,7.31,0.76,1.45,1.99E+06,1.07E+07,9.7442,0.838498006,0.292792783,2.60E+04
5,4,10,3.89,5.79,0.65,0.75,1.52E+06,8.01E+06,1.2825,,,
5,4,40,4.16,5.51,0.59,0.80,1.72E+06,9.33E+06,1.3672,,,
